"","ADPF","Tipo","Parte"
"688",622,"AM. CURIAE.","GABINETE ASSESSORIA JURIDICA AS ORGANIZACOES POPULARES"
"689",622,"AM. CURIAE.","INSTITUTO FAZENDO HISTORIA"
"690",622,"AM. CURIAE.","ASSOCIACAO MAYLE SARA KALI"
"691",622,"AM. CURIAE.","CECUP - CENTRO DE EDUCACAO E CULTURA POPULAR"
"692",622,"ADV.(A/S)","THAIS NASCIMENTO DANTAS (377516/SP)"
"693",622,"ADV.(A/S)","PEDRO AFFONSO DUARTE HARTUNG (329833/SP)"
"694",622,"ADV.(A/S)","MAYARA SILVA DE SOUZA (388920/SP)"
"695",622,"ADV.(A/S)","MAIA AGUILERA FRANKLIN DE MATOS (342471/SP)"
"696",622,"ADV.(A/S)","GLICIA THAIS SALMERON DE MIRANDA (1450/SE)"
"697",622,"AM. CURIAE.","MOVIMENTO NACIONAL DE DIREITOS HUMANOS - MNDH"
"698",622,"ADV.(A/S)","CARLOS NICODEMOS OLIVEIRA SILVA (075208/RJ)"
"699",622,"ADV.(A/S)","CAMILA GUEDES DE CARVALHO (224523/RJ)"
"700",622,"AM. CURIAE.","DEFENSORIA PÚBLICA DO ESTADO DO RIO DE JANEIRO"
"701",622,"ADV.(A/S)","DEFENSOR PÚBLICO-GERAL DO ESTADO DO RIO DE JANEIRO"
"702",622,"AM. CURIAE.","INSTITUTO BRASILEIRO DE CIENCIAS CRIMINAIS"
"703",622,"AM. CURIAE.","ASSOCIAÇÃO NACIONAL DOS CENTROS DE DEFESA DA CRIANÇA E DO ADOLESCENTE"
"704",622,"AM. CURIAE.","CONECTAS DIREITOS HUMANOS"
"705",622,"ADV.(A/S)","MAURICIO STEGEMANN DIETER (40855/PR, 397309/SP, 6891-A/TO)"
"706",622,"ADV.(A/S)","MARIANA CHIES SANTIAGO SANTOS (415550/SP)"
"707",622,"AM. CURIAE.","CONSELHO FEDERAL DA ORDEM DOS ADVOGADOS DO BRASIL - CF/OAB"
"708",622,"ADV.(A/S)","FELIPE SANTA CRUZ (95573/RJ)"
"709",623,"REQTE.(S)","PROCURADORA-GERAL DA REPÚBLICA"
"710",623,"INTDO.(A/S)","PRESIDENTE DA REPÚBLICA"
"711",623,"PROC.(A/S)(ES)","ADVOGADO-GERAL DA UNIÃO"
"712",623,"AM. CURIAE.","CÂMARA BRASILEIRA DA INDÚSTRIA DA CONSTRUÇÃO - CBIC"
"713",623,"ADV.(A/S)","MARCOS ANDRE BRUXEL SAES (165024/RJ, 20864/SC, 437731/SP)"
"714",623,"ADV.(A/S)","MANUELA KUHNEN HERMENEGILDO ANDRIANI (215678/RJ)"
"715",623,"ADV.(A/S)","GLEYSE DOS SANTOS GULIN (172476/RJ)"
"716",623,"AM. CURIAE.","AELO-ASSOCIACAO DAS EMPRESAS DE LOTEAMENTO E DESENVOLVIMENTO URBANO"
"717",623,"ADV.(A/S)","MARCOS ANDRE BRUXEL SAES (165024/RJ, 20864/SC, 437731/SP)"
"718",623,"ADV.(A/S)","MANUELA KUHNEN HERMENEGILDO ANDRIANI (215678/RJ)"
"719",623,"ADV.(A/S)","GLEYSE DOS SANTOS GULIN (172476/RJ)"
"720",623,"AM. CURIAE.","SINDICATO DAS EMPRESAS DE COMPRA, VENDA, LOCACAO, ADMINISTRACAO DE IMOVEIS RESIDENCIAIS E COMERCIAIS DE SAO PAULO - SECOVI/SP"
"721",623,"ADV.(A/S)","MARCOS ANDRE BRUXEL SAES (165024/RJ, 20864/SC, 437731/SP)"
"722",623,"ADV.(A/S)","MANUELA KUHNEN HERMENEGILDO ANDRIANI (215678/RJ)"
"723",623,"ADV.(A/S)","GLEYSE DOS SANTOS GULIN (172476/RJ)"
"724",623,"AM. CURIAE.","ASSOCIAÇÃO DE SAÚDE AMBIENTAL TOXISPHERA"
"725",623,"ADV.(A/S)","LEO VINICIUS PIRES DE LIMA (183137/SP)"
"726",623,"ADV.(A/S)","PATRÍCIA BIANCHIM DE CAMARGO (158584/SP)"
"727",623,"AM. CURIAE.","REDE SUSTENTABILIDADE"
"728",623,"ADV.(A/S)","CASSIO DOS SANTOS ARAUJO (54492/DF)"
"729",623,"ADV.(A/S)","FILIPE TORRI DA ROSA (35538/DF)"
"730",623,"ADV.(A/S)","BRUNO LUNARDI GONÇALVES (62880/DF)"
"731",623,"AM. CURIAE.","ASSOCIACAO BRASILEIRA DOS MEMBROS DO MINISTERIO PUBLICO DE MEIO AMBIENTE"
"732",623,"AM. CURIAE.","ASSOCIACAO NACIONAL DOS MEMBROS DO MINISTERIO PUBLICO - CONAMP"
"733",623,"ADV.(A/S)","VIVIAN MARIA PEREIRA FERREIRA (313405/SP)"
"734",623,"AM. CURIAE.","WWF - BRASIL"
"735",623,"ADV.(A/S)","RAUL SILVA TELLES DO VALLE (58865/DF)"
"736",623,"ADV.(A/S)","RAFAEL GANDUR GIOVANELLI (311597/SP)"
"737",623,"ADV.(A/S)","MARCELO MARQUES SPINELLI ELVIRA (322198/SP)"
"738",623,"AM. CURIAE.","INSTITUTO SOCIOAMBIENTAL"
"739",623,"ADV.(A/S)","JULIANA DE PAULA BATISTA (60748/DF)"
"740",623,"ADV.(A/S)","MAURICIO GUETTA (61111/DF)"
"741",623,"AM. CURIAE.","TRANSPARÊNCIA INTERNACIONAL"
"742",623,"ADV.(A/S)","JANAÍNA FERNANDA DA SILVA PAVAN (406832/SP)"
"743",623,"AM. CURIAE.","LABORATÓRIO DO OBSERVATÓRIO DO CLIMA"
"744",623,"ADV.(A/S)","RAFAEL CARLSSON GAUDIO CUSTODIO (262284/SP)"
"745",623,"ADV.(A/S)","PAULO EDUARDO BUSSE FERREIRA FILHO (164056/SP)"
"746",623,"ADV.(A/S)","FERNANDO NABAIS DA FURRIELA (57839/BA, 197853/MG, 197853/MG, 218150/RJ, 112208A/RS, 80433/SP)"
"747",623,"ADV.(A/S)","DANIEL TRESSOLDI CAMARGO (174285/SP)"
"748",623,"ADV.(A/S)","FABIANA MONTEIRO PARRO (129028/SP)"
"749",623,"AM. CURIAE.","REDE DE ORGANIZACOES NAO GOVERNAMENTAIS DA MATA ATLANTICA - RMA"
"750",623,"ADV.(A/S)","RAUL SILVA TELLES DO VALLE (58865/DF)"
"751",623,"ADV.(A/S)","RAFAEL GANDUR GIOVANELLI (311597/SP)"
"752",623,"ADV.(A/S)","MARCELO MARQUES SPINELLI ELVIRA (322198/SP)"
"753",623,"AM. CURIAE.","CONECTAS DIREITOS HUMANOS"
"754",623,"ADV.(A/S)","MARCOS ROBERTO FUCHS (101663/SP)"
"755",623,"ADV.(A/S)","GABRIEL DE CARVALHO SAMPAIO (25259/SP)"
"756",623,"AM. CURIAE.","CONSELHO FEDERAL DA ORDEM DOS ADVOGADOS DO BRASIL"
"757",623,"ADV.(A/S)","MARCUS VINICIUS FURTADO COÊLHO (18958/DF, 167075/MG, 2525/PI, 463101/SP)"
"758",623,"ADV.(A/S)","ANA PAULA DEL VIEIRA DUQUE (51469/DF)"
"759",623,"ADV.(A/S)","LIZANDRA NASCIMENTO VICENTE (039992/DF)"
"760",624,"REQTE.(S)","PROCURADORA-GERAL DA REPÚBLICA"
"761",624,"INTDO.(A/S)","PRESIDENTE DA REPÚBLICA"
"762",624,"PROC.(A/S)(ES)","ADVOGADO-GERAL DA UNIÃO"
"763",624,"INTDO.(A/S)","CONGRESSO NACIONAL"
"764",624,"PROC.(A/S)(ES)","ADVOGADO-GERAL DA UNIÃO"
"765",625,"REQTE.(S)","GOVERNADOR DO ESTADO DA PARAÍBA"
"766",625,"PROC.(A/S)(ES)","PROCURADOR-GERAL DO ESTADO DA PARAÍBA"
"767",625,"INTDO.(A/S)","PRESIDENTE DO TRIBUNAL DE JUSTIÇA DO ESTADO DA PARAÍBA"
"768",625,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"769",626,"REQTE.(S)","GOVERNADOR DO ESTADO DE SERGIPE"
"770",626,"PROC.(A/S)(ES)","PROCURADOR-GERAL DO ESTADO DE SERGIPE"
"771",626,"INTDO.(A/S)","JUIZ DE DIREITO DA 1ª VARA CÍVEL DA COMARCA DE SÃO CRISTÓVÃO"
"772",626,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"773",626,"INTDO.(A/S)","JUIZ DE DIREITO DA 1ª VARA CÍVEL E CRIMINAL DA COMARCA DE NEÓPOLIS"
"774",626,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"775",626,"INTDO.(A/S)","JUIZ DE DIREITO DA VARA ÚNICA DA COMARCA DE RIACHÃO DO DANTAS"
"776",626,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"777",626,"INTDO.(A/S)","JUIZ DE DIREITO DA VARA ÚNICA DA COMARCA DE RIBEIRÓPOLIS"
"778",626,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"779",626,"INTDO.(A/S)","JUIZ FEDERAL DA 1ª VARA FEDERAL DA SEÇÃO JUDICIÁRIA DO ESTADO DE SERGIPE"
"780",626,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"781",627,"REQTE.(S)","PARTIDO DEMOCRATICO TRABALHISTA"
"782",627,"ADV.(A/S)","WALBER DE MOURA AGRA (00757/PE)"
"783",627,"ADV.(A/S)","CIRO FERREIRA GOMES (3339/CE)"
"784",627,"ADV.(A/S)","MARA DE FATIMA HOFANS (068152/RJ)"
"785",627,"ADV.(A/S)","RODRIGO TERRA CYRINEU (16169/O/MT)"
"786",627,"ADV.(A/S)","IAN RODRIGUES DIAS (10074/DF)"
"787",627,"ADV.(A/S)","ALISSON EMMANUEL DE OLIVEIRA LUCENA (37719/PE)"
"788",627,"ADV.(A/S)","LETICIA BEZERRA ALVES (34126/PE)"
"789",627,"INTDO.(A/S)","UNIÃO"
"790",627,"PROC.(A/S)(ES)","ADVOGADO-GERAL DA UNIÃO"
"791",628,"REQTE.(S)","ASSOCIAÇÃO NACIONAL DOS DEFENSORES PÚBLICOS - ANADEP"
"792",628,"ADV.(A/S)","TATIANA ZENNI DE CARVALHO GUIMARAES FRANCISCO (24751/DF)"
"793",628,"ADV.(A/S)","ILTON NORBERTO ROBL FILHO (38677/DF, 43824/PR, 48138-A/SC)"
"794",628,"ADV.(A/S)","ISABELA MARRAFON (0008565/MT)"
"795",628,"ADV.(A/S)","MARCO AURELIO MARRAFON (37805/DF, 7364/A/MT, 40092/PR)"
"796",628,"INTDO.(A/S)","GOVERNADOR DO ESTADO DO PIAUÍ"
"797",628,"PROC.(A/S)(ES)","PROCURADOR-GERAL DO ESTADO DO PIAUÍ"
"798",629,"REQTE.(S)","PARTIDO SOCIALISMO E LIBERDADE (P-SOL)"
"799",629,"ADV.(A/S)","ANDRE BRANDAO HENRIQUES MAIMONI (29498/DF, 7040/O/MT)"
"800",629,"ADV.(A/S)","ALBERTO BRANDAO HENRIQUES MAIMONI (21144/DF, 7234/O/MT)"
"801",629,"ADV.(A/S)","HENRIQUE CESAR MONTEIRO BARAHONA RAMOS (93271/RJ)"
"802",629,"INTDO.(A/S)","PRESIDENTE DA REPÚBLICA"
"803",629,"PROC.(A/S)(ES)","ADVOGADO-GERAL DA UNIÃO"
"804",630,"REQTE.(S)","ASSOCIACAO BRASILEIRA DE EMISSORAS DE RADIO E TV"
"805",630,"ADV.(A/S)","GUSTAVO BINENBOJM (58607/DF, 083152/RJ, 479201/SP)"
"806",630,"ADV.(A/S)","ANDRE RODRIGUES CYRINO (58605/DF, 123111/RJ, 478821/SP)"
"807",630,"ADV.(A/S)","RAFAEL LORENZO FERNANDEZ KOATZ (46142/DF, 122128/RJ, 424218/SP)"
"808",630,"ADV.(A/S)","ALICE BERNARDO VORONOFF DE MEDEIROS (58608/DF, 139858/RJ, 479571/SP)"
"809",630,"ADV.(A/S)","FRANCISCO JOSE DEFANTI FONSECA (180658/RJ)"
"810",630,"ADV.(A/S)","MATEUS NUNES DOS SANTOS FERREIRA DIAS (72999/DF, 217476/RJ)"
"811",630,"ADV.(A/S)","CESAR HENRIQUE FERREIRA LIMA (228249/RJ)"
"812",630,"INTDO.(A/S)","RECEITA FEDERAL DO BRASIL (RFB)"
"813",630,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"814",630,"INTDO.(A/S)","CONSELHO ADMINISTRATIVO DE RECURSOS FISCAIS (CARF)"
"815",630,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"816",630,"INTDO.(A/S)","PRESIDENTE DA REPÚBLICA"
"817",630,"PROC.(A/S)(ES)","ADVOGADO-GERAL DA UNIÃO"
"818",630,"INTDO.(A/S)","CONGRESSO NACIONAL"
"819",630,"PROC.(A/S)(ES)","ADVOGADO-GERAL DA UNIÃO"
"820",630,"AM. CURIAE.","FEDERAÇÃO DAS INDÚSTRIAS DO ESTADO DE MINAS GERAIS - FIEMG"
"821",630,"ADV.(A/S)","TIAGO GOMES DE CARVALHO PINTO (71905/MG)"
"822",630,"AM. CURIAE.","CONFEDERAÇÃO NACIONAL DE SAÚDE (CNSAÚDE)"
"823",630,"ADV.(A/S)","MARCOS VINICIUS BARROS OTTONI (16785/DF, 68823A/GO, 181061/RJ, 427551/SP)"
"824",630,"ADV.(A/S)","BRENO FERREIRA MARTINS VASCONCELOS (59119/PE, 224120/SP)"
"825",630,"ADV.(A/S)","NELSON MANNRICH (26855/DF, 34253/ES, 128563/MG, 15434-A/MS, 113297/RJ, 4979/RO, 36199/SP)"
"826",631,"REQTE.(S)","SINDICATO DOS SERVIDORES MUNICIPAIS DE SANTAREM"
"827",631,"ADV.(A/S)","FRANCISCO DE ASSIS FERNANDES DE ABRANTES (21244/PB)"
"828",631,"INTDO.(A/S)","PREFEITA DO MUNICÍPIO DE JOCA CLAUDINO"
"829",631,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"830",631,"INTDO.(A/S)","CÂMARA MUNICIPAL DE JOCA CLAUDINO"
"831",631,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"832",632,"REQTE.(S)","FEDERACAO NACIONAL DAS ASSOCIACOES QUILOMBOLAS"
"833",632,"ADV.(A/S)","HUMBERTO ADAMI SANTOS JUNIOR (000830/RJ)"
"834",632,"ADV.(A/S)","ADERSON BUSSINGER CARVALHO (48223/DF, 001511-B/RJ, 180028/SP)"
"835",632,"INTDO.(A/S)","UNIÃO"
"836",632,"PROC.(A/S)(ES)","ADVOGADO-GERAL DA UNIÃO"
"837",633,"REQTE.(S)","PARTIDO DEMOCRATICO TRABALHISTA"
"838",633,"REQTE.(S)","PARTIDO SOCIALISTA BRASILEIRO - PSB"
"839",633,"REQTE.(S)","PARTIDO COMUNISTA DO BRASIL PC DO B"
"840",633,"ADV.(A/S)","LUCAS DE CASTRO RIVAS (46431/DF)"
"841",633,"INTDO.(A/S)","REPRESENTANTE PERMANENTE DO BRASIL JUNTO ÀS NAÇÕES UNIDAS"
"842",633,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"843",633,"INTDO.(A/S)","PRESIDENTE DA REPÚBLICA"
"844",633,"PROC.(A/S)(ES)","ADVOGADO-GERAL DA UNIÃO"
"845",633,"INTDO.(A/S)","MINISTRO DE ESTADO DAS RELAÇÕES EXTERIORES"
"846",633,"PROC.(A/S)(ES)","ADVOGADO-GERAL DA UNIÃO"
"847",633,"AM. CURIAE.","FEDERAÇÃO DAS INDÚSTRIAS DO ESTADO DE MINAS GERAIS - FIEMG"
"848",633,"ADV.(A/S)","TIAGO GOMES DE CARVALHO PINTO (MG071905/)"
"849",633,"ADV.(A/S)","MARIANA BARBOSA SALIBA MOREIRA"
"850",633,"ADV.(A/S)","ELISA LEÃO DE ANDRADE (124233/MG)"
"851",633,"AM. CURIAE.","PARTIDO DOS TRABALHADORES - PT"
"852",633,"ADV.(A/S)","EUGENIO JOSE GUILHERME DE ARAGAO (04935/DF, 30746/ES, 428274/SP)"
"853",633,"ADV.(A/S)","ANGELO LONGO FERRARO (37922/DF, 261268/SP)"
"854",633,"ADV.(A/S)","FERNANDO ANTONIO DOS SANTOS FILHO (37934/DF)"
"855",633,"AM. CURIAE.","GRUPO DE PESQUISA CONSTITUIÇÃO E DEMOCRACIA: DIREITOS, DEVERES E RESPONSABILIDADES NOS SISTEMAS POLÍTICO E DE JUSTIÇA CONTEMPORÂNEOS DA FACULDADE DE DIREITO DA UNIVERSIDADE FEDERAL DO AMAZONAS "
"856",633,"ADV.(A/S)","RAFAEL DA SILVA MENEZES"
"857",633,"ADV.(A/S)","MARIAH BROCHADO FERREIRA"
"858",633,"ADV.(A/S)","DORINETHE DOS SANTOS BENTES"
"859",633,"AM. CURIAE.","ASSOCIAÇÃO DIREITOS HUMANOS EM REDE - CONECTAS DIREITOS HUMANOS"
"860",633,"ADV.(A/S)","MARCOS ROBERTO FUCHS (101663/SP)"
"861",633,"ADV.(A/S)","GABRIEL DE CARVALHO SAMPAIO (25259/SP)"
"862",633,"ADV.(A/S)","JOAO PAULO DE GODOY (365922/SP)"
"863",633,"AM. CURIAE.","INSTITUTO SOCIOAMBIENTAL"
"864",633,"ADV.(A/S)","JULIANA DE PAULA BATISTA (60748/DF)"
"865",633,"ADV.(A/S)","MAURICIO GUETTA (0271433/SP)"
"866",633,"AM. CURIAE.","INSTITUTO ALANA"
"867",633,"ADV.(A/S)","PEDRO AFFONSO DUARTE HARTUNG (329833/SP)"
"868",633,"ADV.(A/S)","MAYARA SILVA DE SOUZA (388920/SP)"
"869",633,"ADV.(A/S)","THAIS NASCIMENTO DANTAS"
"870",633,"AM. CURIAE.","INSTITUTO DE DEFESA DO DIREITO DE DEFESA"
"871",633,"ADV.(A/S)","ELAINE ANGEL (0130664/SP)"
"872",633,"ADV.(A/S)","JOSÉ CARLOS ABISSAMRA FILHO (257222/SP)"
"873",633,"ADV.(A/S)","GUILHERME ZILIANI CARNELOS (SP220558/)"
"874",634,"REQTE.(S)","CONFEDERACAO NACIONAL DOS TRABALHADORES METALURGICOS"
"875",634,"ADV.(A/S)","CARLOS GONCALVES JUNIOR (173287/MG, 149994/RJ, 183311/SP)"
"876",634,"ADV.(A/S)","MIGUEL ANGELO SALLES MANENTE (113353/SP)"
"877",634,"INTDO.(A/S)","PREFEITO DO MUNICÍPIO DE SÃO PAULO"
"878",634,"PROC.(A/S)(ES)","PROCURADOR-GERAL DO MUNICÍPIO DE SÃO PAULO"
"879",634,"INTDO.(A/S)","CÂMARA MUNICIPAL DE SÃO PAULO"
"880",634,"ADV.(A/S)","MILTON LEITE"
"881",634,"ADV.(A/S)","ANDREA RASCOVSKI ICKOWICZ (130317/SP)"
"882",634,"ADV.(A/S)","PAULO AUGUSTO BACCARIN (138129/SP)"
"883",634,"INTDO.(A/S)","JUIZ DE DIREITO DA 11ª VARA DA FAZENDA PÚBLICA DA COMARCA DE SÃO PAULO"
"884",634,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"885",635,"REQTE.(S)","PARTIDO SOCIALISTA BRASILEIRO - PSB"
"886",635,"ADV.(A/S)","DANIEL ANTONIO DE MORAES SARMENTO (63551/DF, 73032/RJ)"
"887",635,"ADV.(A/S)","ADEMAR BORGES DE SOUSA FILHO (29178/DF, 186435/RJ)"
"888",635,"ADV.(A/S)","PEDRO HENRIQUE CARNEIRO DA COSTA REZENDE (16767A/AL, 59372/DF, 222950/RJ)"
"889",635,"ADV.(A/S)","JOAO GABRIEL MADEIRA PONTES (63560/DF, 211354/RJ)"
"890",635,"ADV.(A/S)","CAMILLA BORGES MARTINS GOMES (63549/DF, 179620/RJ)"
"891",635,"INTDO.(A/S)","ESTADO DO RIO DE JANEIRO"
"892",635,"PROC.(A/S)(ES)","PROCURADOR-GERAL DO ESTADO DO RIO DE JANEIRO"
"893",635,"INTDO.(A/S)","MINISTÉRIO PÚBLICO DO ESTADO DO RIO DE JANEIRO"
"894",635,"PROC.(A/S)(ES)","PROCURADOR-GERAL DE JUSTIÇA DO ESTADO DO RIO DE JANEIRO"
"895",635,"AM. CURIAE.","EDUCAFRO - EDUCAÇÃO E CIDADANIA DE AFRO-DESCENDENTES E CARENTES"
"896",635,"ADV.(A/S)","WALLACE DE ALMEIDA CORBO (186442/RJ)"
"897",635,"AM. CURIAE.","DEFENSORIA PÚBLICA DO ESTADO DO RIO DE JANEIRO"
"898",635,"ADV.(A/S)","DEFENSOR PÚBLICO-GERAL DO ESTADO DO RIO DE JANEIRO"
"899",635,"AM. CURIAE.","JUSTIÇA GLOBAL"
"900",635,"ADV.(A/S)","DANIELA FICHINO (166574/RJ)"
"901",635,"AM. CURIAE.","ASSOCIACAO DIREITOS HUMANOS EM REDE"
"902",635,"ADV.(A/S)","GABRIEL DE CARVALHO SAMPAIO (55891/DF, 252259/SP)"
"903",635,"ADV.(A/S)","CAROLINE MENDES BISPO (183240/RJ)"
"904",635,"ADV.(A/S)","MARCOS ROBERTO FUCHS (101663/SP)"
"905",635,"ADV.(A/S)","JOAO PAULO DE GODOY (365922/SP)"
"906",635,"ADV.(A/S)","PAULA NUNES DOS SANTOS (365277/SP)"
"907",635,"ADV.(A/S)","RODRIGO FILIPPI DORNELLES (329849/SP)"
"908",635,"AM. CURIAE.","ASSOCIACAO REDES DE DESENVOLVIMENTO DA MARE"
"909",635,"ADV.(A/S)","LUCILENE GOMES DA SILVA (144510/RJ)"
"910",635,"AM. CURIAE.","MOVIMENTO NEGRO UNIFICADO"
"911",635,"ADV.(A/S)","GABRIEL DE CARVALHO SAMPAIO (55891/DF, 252259/SP)"
"912",635,"ADV.(A/S)","ISABEL CRISTINA MARTINEZ DE SOUZA PEREIRA (146357/RJ)"
"913",635,"ADV.(A/S)","MARCELO DIAS (111525/RJ)"
"914",635,"AM. CURIAE.","INSTITUTO DE ESTUDOS DA RELIGIAO-ISER"
"915",635,"ADV.(A/S)","ISABEL CRISTINA MARTINEZ DE SOUZA PEREIRA (146357/RJ)"
"916",635,"ADV.(A/S)","GABRIEL DE CARVALHO SAMPAIO (55891/DF, 252259/SP)"
"917",635,"AM. CURIAE.","CONSELHO NACIONAL DE DIREITOS HUMANOS - CNDH"
"918",635,"ADV.(A/S)","EVERALDO BEZERRA PATRIOTA (2040B/AL)"
"919",635,"AM. CURIAE.","MUNICIPIO DE ANGRA DOS REIS"
"920",635,"PROC.(A/S)(ES)","PROCURADOR-GERAL DO MUNICÍPIO DE ANGRA DOS REIS"
"921",635,"AM. CURIAE.","COLETIVO PAPO RETO"
"922",635,"AM. CURIAE.","MOVIMENTO MÃES DE MANGUINHOS"
"923",635,"AM. CURIAE.","REDE DE COMUNIDADES E MOVIMENTOS CONTRA A VIOLÊNCIA"
"924",635,"AM. CURIAE.","FALA AKARI"
"925",635,"AM. CURIAE.","INICIATIVA DIREITO À MEMÓRIA E JUSTIÇA RACIAL"
"926",635,"ADV.(A/S)","GABRIEL DE CARVALHO SAMPAIO (55891/DF, 252259/SP)"
"927",635,"AM. CURIAE.","INSTITUTO ALANA"
"928",635,"ADV.(A/S)","PEDRO AFFONSO DUARTE HARTUNG (329833/SP)"
"929",635,"ADV.(A/S)","ANA CLAUDIA CIFALI (80390/RS)"
"930",635,"ADV.(A/S)","ISABELLA VIEIRA MACHADO HENRIQUES (155097/SP)"
"931",635,"AM. CURIAE.","PARTIDO DOS TRABALHADORES - PT"
"932",635,"ADV.(A/S)","EUGENIO JOSE GUILHERME DE ARAGAO (04935/DF, 30746/ES, 428274/SP)"
"933",635,"AM. CURIAE.","ORDEM DOS ADVOGADOS DO BRASIL - SEÇÃO DO ESTADO DO RIO DE JANEIRO"
"934",635,"ADV.(A/S)","THIAGO GOMES MORANI (171078/RJ)"
"935",635,"AM. CURIAE.","CONSELHO FEDERAL DA ORDEM DOS ADVOGADOS DO BRASIL CFOAB"
"936",635,"ADV.(A/S)","FELIPE DE SANTA CRUZ OLIVEIRA SCALETSKY (38672/DF, 095573/RJ)"
"937",635,"AM. CURIAE.","CENTRO PELA JUSTIÇA E O DIREITO INTERNACIONAL - CEJIL"
"938",635,"ADV.(A/S)","MARIA BEATRIZ GALLI BEVILLACQUA (080944/RJ)"
"939",635,"AM. CURIAE.","INSTITUTO BRASILEIRO DE CIÊNCIAS CRIMINAIS - IBCCRIM"
"940",635,"ADV.(A/S)","MARINA PINHAO COELHO ARAUJO (188809/RJ, 173413/SP)"
"941",635,"AM. CURIAE.","GRUPO DE ATUAÇÃO ESTRATÉGICA DAS DEFENSORIAS PÚBLICAS ESTADUAIS E DISTRITAL NOS TRIBUNAIS SUPERIORES - GAETS"
"942",635,"ADV.(A/S)","RAFAEL RAMIA MUNERATI (138992/SP)"
"943",635,"AM. CURIAE.","LABORATÓRIO DE PESQUISAS LABJACA"
"944",635,"AM. CURIAE.","INSTITUTO DE ADVOCACIA RACIAL E AMBIENTAL - IARA"
"945",635,"ADV.(A/S)","HUMBERTO ADAMI SANTOS JUNIOR (000830/RJ)"
"946",635,"AM. CURIAE.","MOVIMENTO INDEPENDENTE MÃES DE MAIO"
"947",635,"ADV.(A/S)","GABRIEL DE CARVALHO SAMPAIO (55891/DF, 252259/SP)"
"948",635,"AM. CURIAE.","ASSOCIAÇÃO DOS DELEGADOS DE POLÍCIA DO BRASIL - ADEPOL"
"949",635,"ADV.(A/S)","OPHIR FILGUEIRAS CAVALCANTE JUNIOR (38000/DF, 217486/MG, 3259/PA, 98891/SP)"
"950",635,"AM. CURIAE.","DEFENSORIA PÚBLICA DA UNIÃO"
"951",635,"PROC.(A/S)(ES)","DEFENSOR PÚBLICO-GERAL FEDERAL"
"952",635,"AM. CURIAE.","INSTITUTO ANJOS DA LIBERDADE - IAL"
"953",635,"ADV.(A/S)","FLAVIA PINHEIRO FROES (097557/RJ)"
"954",635,"ADV.(A/S)","DANIEL SANCHEZ BORGES (151465/RJ)"
"955",635,"ADV.(A/S)","TANIA MONIQUE FAIAL CORREA (133182/RJ)"
"956",635,"ADV.(A/S)","GILBERTO SANTIAGO LOPES (215621/RJ)"
"957",635,"ADV.(A/S)","RAMIRO CARLOS ROCHA REBOUCAS (169721/RJ)"
"958",635,"ADV.(A/S)","KARINA OLIVEIRA MARINHO (211083/RJ)"
"959",635,"AM. CURIAE.","NÚCLEO DE ASSESSORIA JURÍDICA UNIVERSITÁRIA POPULAR LUIZA MAHIN"
"960",635,"AM. CURIAE.","LABORATÓRIO DE DIREITOS HUMANOS (LADIH)"
"961",635,"ADV.(A/S)","ANA CLAUDIA DIOGO TAVARES (128986/RJ)"
"962",635,"AM. CURIAE.","ASSOCIAÇÃO BRASILEIRA DE CRIMINALÍSTICA - ABC"
"963",635,"ADV.(A/S)","RAFAEL ALFREDI DE MATOS (23739/BA, 71438/DF, 241887/RJ, 296620/SP)"
"964",635,"ADV.(A/S)","LUIZ GUILHERME ROS (48774/DF, 463125/SP)"
"965",635,"AM. CURIAE.","ASSOCIAÇÃO BRASILEIRA DE CRIMINALISTICA - ABC"
"966",635,"ADV.(A/S)","RAFAEL ALFREDI DE MATOS (23739/BA, 71438/DF, 241887/RJ, 296620/SP)"
"967",635,"ADV.(A/S)","EDSON ALVES DA SILVA (42745/BA, 268910/SP)"
"968",635,"AM. CURIAE.","FEDERACAO DAS INDUSTRIAS DO ESTADO DO RIO DE JANEIRO"
"969",635,"ADV.(A/S)","GUSTAVO KELLY ALENCAR (102509/RJ)"
"970",635,"AM. CURIAE.","SINDICATO DAS EMPRESAS DE TRANSPORTES RODOVIARIOS DE CARGAS E LOGISTICA DO ESTADO DO RIO DE JANEIRO"
"971",635,"ADV.(A/S)","ALEXANDRE DE CARVALHO AYRES (147533/RJ)"
"972",636,"REQTE.(S)","VICE-GOVERNADORA DO ESTADO DE SERGIPE"
